WKT,Nombre,Descripción
"POINT (-97.0436435 15.8338768)",Amarisa Café,
"POINT (-97.04983999999999 15.8437012)",Kelly Café,
"POINT (-97.0445868 15.8339115)",Dulce Tierra Café 
,
"POINT (-97.04450820000001 15.8342786)",Piyoli Punta Zicatela,
"POINT (-97.0446204 15.8325691)",Moringa Fresh and Wild,
"POINT (-97.0443403 15.836586)",Mira,
"POINT (-97.04240279999999 15.834118)",Casa de Cultura Fernando Lujan,
"POINT (-97.05492029999999 15.8521515)",El Cafecito,
"POINT (-97.052742 15.8506422)",Dan's Café Deluxe,
"POINT (-97.0525555 15.85033)",Hotel Casa de Dan,
"POINT (-97.0782019 15.8616418)",El Cafecito,
"POINT (-97.07667590000001 15.86175)",Dulce Tierra Bakery & Coffee shop Rinconada,
"POINT (-97.0445381 15.8353174)",Lunaticart,
"POINT (-97.0765254 15.8617543)",Gota de Tierra,
"POINT (-97.05459189999999 15.8512804)",Mareta Ecotienda,
"POINT (-97.05926430000001 15.8579802)",Sabor a Mar,
"POINT (-97.0548273 15.851532)",Dulce Tierra Zicatela,
"POINT (-97.0730171 15.8685662)",Puerto Dreams Hostel,
"POINT (-97.05803709999999 15.8568119)",Amarisa Café,
"POINT (-97.0745704 15.8615153)",Pacific Surf Academy,
"POINT (-97.04399989999999 15.8324475)",Ojitos Abiertos,
"POINT (-97.0490473 15.8476407)",Ojitos Abiertos - Mercado Zicatela,
"POINT (-97.05803519999999 15.8568365)",Selina Puerto Escondido,
"POINT (-97.04421169999999 15.8369656)",Mango Tree puerto escondido,
"POINT (-97.0632101 15.861741)",Hotel Casablanca,
"POINT (-97.0668208 15.8614651)",Hotel San Juan,
"POINT (-97.04875609999999 15.8479413)",Dulce Tierra Mercado Zicatela,
"POINT (-97.0824032 15.8621323)",Plaza Chepil,
"POINT (-97.0457596 15.8365591)",Punta Vida,
"POINT (-97.0466836 15.8427044)",Sandala Café,
"POINT (-97.05819620000001 15.8577107)",Hotel Tabachin del Puerto,
"POINT (-97.08029220000002 15.8678123)",Hermanitos Tacos Árabes,
"POINT (-97.0765653 15.8617518)",Big Wave Diving,
